,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
0,32403,city_41,0.8270000000000001,Male,Has relevent experience,Full time course,Graduate,STEM,9,<10,Pvt Ltd,1,21.0
1,9858,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,98.0
2,31806,city_21,0.624,Male,No relevent experience,no_enrollment,High School,STEM,<1,10000+,Pvt Ltd,never,15.0
3,27385,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,11,Oct-49,Pvt Ltd,1,39.0
4,27724,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,72.0
5,217,city_23,0.899,Male,No relevent experience,Part time course,Masters,STEM,10,10000+,Pvt Ltd,2,12.0
6,21465,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Pvt Ltd,1,11.0
7,27302,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,81.0
8,12994,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,4,2.0
9,16287,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Funded Startup,1,4.0
10,10856,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,>20,10000+,Pvt Ltd,>4,196.0
11,9272,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,Oct-49,Pvt Ltd,2,51.0
12,14249,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Other,never,48.0
13,24372,city_98,0.9490000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,134.0
14,14070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,never,10.0
15,24914,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,13,1000-4999,Pvt Ltd,1,125.0
16,7865,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Pvt Ltd,1,4.0
17,7463,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Masters,Business Degree,2,50-99,Pvt Ltd,1,31.0
18,21514,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,23.0
19,29033,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,10000+,Pvt Ltd,never,110.0
20,15359,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,2,10000+,Pvt Ltd,never,74.0
21,16001,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,1,44.0
22,25202,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,3,33.0
23,5058,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,1,10000+,Pvt Ltd,1,81.0
24,23570,city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,>4,19.0
25,19139,city_103,0.92,Female,Has relevent experience,Part time course,Graduate,STEM,15,10000+,Public Sector,>4,48.0
26,9548,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,65.0
27,8799,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,6,10000+,Public Sector,1,46.0
28,11113,city_134,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,1,78.0
29,19437,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,Oct-49,Pvt Ltd,1,105.0
30,394,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,29.0
31,7683,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,10.0
32,22849,city_116,0.743,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,12.0
33,17189,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,4,43.0
34,28610,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,>4,18.0
